-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 03/01/2025 in LST
Location: latitude  11.6525   longitude 78.1598 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 316.61 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
T2M           MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX       MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN       MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,T2M_RANGE,T2M,T2M_MAX,T2M_MIN
2020,1,1,11.97,24.91,31.56,19.59
2020,1,2,11.81,25.65,32.21,20.4
2020,1,3,12.67,25.86,32.88,20.21
2020,1,4,11.53,26.56,33.22,21.69
2020,1,5,10.38,26.23,32.36,21.98
2020,1,6,10.61,25.27,31.66,21.05
2020,1,7,12.5,24.71,31.83,19.33
2020,1,8,13.15,24.65,32.24,19.09
2020,1,9,14.08,24.4,32.45,18.37
2020,1,10,13.49,23.86,31.41,17.92
2020,1,11,14.39,22.84,30.97,16.58
2020,1,12,14.7,23.5,31.68,16.98
2020,1,13,14.09,23.9,31.9,17.81
2020,1,14,15.02,23.51,32.1,17.08
2020,1,15,15.39,22.71,31.35,15.96
2020,1,16,16.1,23.2,31.71,15.61
2020,1,17,15.66,24.63,32.94,17.28
2020,1,18,12.09,25.35,32.22,20.13
2020,1,19,11.9,25.28,32.33,20.43
2020,1,20,14.6,25.09,33.43,18.83
2020,1,21,15.91,24.28,32.91,17.0
2020,1,22,15.71,24.52,33.14,17.43
2020,1,23,13.64,25.17,33.13,19.49
2020,1,24,16.65,23.91,33.45,16.8
2020,1,25,18.75,23.23,33.78,15.03
2020,1,26,17.23,24.03,33.92,16.69
2020,1,27,16.54,24.88,34.16,17.62
2020,1,28,15.19,25.48,34.05,18.86
2020,1,29,16.03,25.88,35.0,18.97
2020,1,30,16.67,26.17,35.83,19.16
2020,1,31,15.1,26.2,35.15,20.05
2020,2,1,13.94,25.64,33.42,19.48
2020,2,2,14.71,25.52,33.74,19.03
2020,2,3,16.23,25.5,34.1,17.87
2020,2,4,15.7,25.96,34.2,18.5
2020,2,5,14.61,26.13,34.23,19.62
2020,2,6,16.17,26.0,34.85,18.68
2020,2,7,15.26,26.28,34.37,19.11
2020,2,8,14.32,27.12,34.89,20.57
2020,2,9,13.81,26.78,34.42,20.61
2020,2,10,13.97,26.73,34.52,20.55
2020,2,11,14.52,26.55,34.9,20.38
2020,2,12,16.41,26.29,34.77,18.36
2020,2,13,17.34,26.55,35.9,18.56
2020,2,14,17.57,26.78,36.33,18.76
2020,2,15,17.97,27.51,37.53,19.56
2020,2,16,18.7,26.33,36.61,17.91
2020,2,17,19.34,25.56,36.06,16.72
2020,2,18,18.55,25.95,35.91,17.36
2020,2,19,14.1,25.23,33.24,19.14
2020,2,20,18.53,25.4,35.4,16.87
2020,2,21,19.57,26.13,36.06,16.49
2020,2,22,15.29,27.27,36.02,20.73
2020,2,23,16.16,26.87,35.59,19.43
2020,2,24,15.35,27.24,35.74,20.39
2020,2,25,16.31,28.39,37.35,21.04
2020,2,26,15.5,28.57,37.17,21.67
2020,2,27,14.73,28.59,36.88,22.15
2020,2,28,12.82,28.53,36.03,23.21
2020,2,29,14.89,28.54,36.99,22.1
2020,3,1,14.06,28.84,36.8,22.74
2020,3,2,11.74,27.79,34.38,22.64
2020,3,3,13.55,29.28,36.58,23.03
2020,3,4,13.45,29.53,37.07,23.62
2020,3,5,13.88,30.24,37.53,23.65
2020,3,6,12.36,29.95,36.72,24.36
2020,3,7,12.36,30.01,37.01,24.65
2020,3,8,13.18,30.07,37.46,24.28
2020,3,9,15.35,30.12,38.78,23.43
2020,3,10,16.25,29.91,39.17,22.92
2020,3,11,16.08,29.46,38.4,22.32
2020,3,12,17.01,29.53,38.71,21.7
2020,3,13,17.87,29.12,38.35,20.48
2020,3,14,17.28,29.66,39.22,21.94
2020,3,15,15.73,29.89,39.02,23.29
2020,3,16,16.24,30.21,39.32,23.08
2020,3,17,16.68,29.63,38.96,22.28
2020,3,18,16.92,29.54,38.28,21.36
2020,3,19,18.12,30.38,39.95,21.83
2020,3,20,16.85,31.05,39.46,22.61
2020,3,21,12.38,31.02,37.56,25.18
2020,3,22,15.2,31.63,39.33,24.13
2020,3,23,13.85,31.1,38.86,25.01
2020,3,24,15.24,31.1,39.44,24.2
2020,3,25,15.59,30.53,38.86,23.27
2020,3,26,16.55,30.26,39.18,22.63
2020,3,27,15.52,30.15,38.81,23.29
2020,3,28,17.32,30.33,39.61,22.29
2020,3,29,18.09,30.16,39.83,21.74
2020,3,30,18.39,30.21,40.07,21.68
2020,3,31,19.26,30.03,39.88,20.62
2020,4,1,17.83,30.53,39.92,22.09
2020,4,2,17.15,31.38,40.47,23.32
2020,4,3,16.38,31.16,40.2,23.82
2020,4,4,17.55,30.83,40.1,22.55
