date,commodity,price,temperature,rainfall,demand,volume,month,day_of_week,season,market_sentiment,global_demand_index,export_quota,moving_avg_7d,price_momentum
2023-01-01,Rice,46.69,28.5,59.5,997,1183,1,6,1,0.32,88.05,97.71,,
2023-01-01,Wheat,28.65,20.0,58.1,699,777,1,6,1,0.65,118.26,95.58,,
2023-01-01,Corn,26.28,20.4,36.4,963,924,1,6,1,-0.49,110.0,108.64,,
2023-01-02,Rice,45.47,32.7,10.2,1168,1021,1,0,1,0.2,98.95,104.23,,-0.02612979224673373
2023-01-02,Wheat,30.99,16.0,46.7,1088,1150,1,0,1,0.86,104.14,106.97,,0.081675392670157
2023-01-02,Corn,27.83,23.2,78.1,892,725,1,0,1,-0.27,110.68,101.2,,0.05898021308980206
2023-01-03,Rice,44.51,28.4,48.1,947,942,1,1,1,-0.94,99.77,105.44,,-0.02111282164064221
2023-01-03,Wheat,33.23,25.1,52.3,1042,1183,1,1,1,0.15,98.61,105.43,,0.07228138109067439
2023-01-03,Corn,27.8,29.5,73.1,841,1001,1,1,1,0.62,79.48,98.8,,-0.0010779734099891636
2023-01-04,Rice,43.94,18.6,71.2,848,926,1,2,1,-0.68,99.53,109.56,,-0.01280611098629525
2023-01-04,Wheat,31.08,22.1,61.8,845,945,1,2,1,-0.87,102.34,102.55,,-0.06470057177249466
2023-01-04,Corn,28.69,26.3,36.8,937,891,1,2,1,0.53,87.78,95.2,,0.03201438848920857
2023-01-05,Rice,45.75,27.9,41.9,982,873,1,3,1,-0.93,87.58,105.4,,0.041192535275375475
2023-01-05,Wheat,32.29,19.9,56.8,1070,901,1,3,1,-0.86,101.06,91.36,,0.03893178893178906
2023-01-05,Corn,27.18,23.9,51.4,889,1059,1,3,1,0.45,127.37,92.29,,-0.052631578947368474
2023-01-06,Rice,43.91,23.3,79.2,806,696,1,4,1,-0.64,109.92,100.4,,-0.04021857923497274
2023-01-06,Wheat,32.13,31.2,41.5,956,1002,1,4,1,0.28,111.15,91.81,,-0.004955094456488007
2023-01-06,Corn,27.87,21.0,55.7,997,865,1,4,1,-0.24,92.98,96.54,,0.025386313465783683
2023-01-07,Rice,47.76,25.2,71.7,1030,913,1,5,1,0.64,93.34,97.19,45.43285714285714,0.08767934411295841
2023-01-07,Wheat,32.32,19.8,55.2,935,1079,1,5,1,0.95,95.99,94.96,31.527142857142856,0.005913476501711701
2023-01-07,Corn,29.05,25.2,57.2,936,990,1,5,1,0.26,103.04,102.19,27.814285714285713,0.042339433082167144
2023-01-08,Rice,47.77,25.4,47.4,1079,977,1,6,1,0.92,82.81,99.43,45.58714285714286,0.00020938023450600696
2023-01-08,Wheat,31.86,27.9,67.5,943,832,1,6,1,0.4,84.38,93.5,31.985714285714284,-0.0142326732673268
2023-01-08,Corn,26.52,27.3,19.8,834,675,1,6,1,-0.68,84.93,98.74,27.84857142857143,-0.08709122203098107
2023-01-09,Rice,43.16,18.2,39.7,904,997,1,0,1,0.48,89.71,105.97,45.25714285714285,-0.09650408205987038
2023-01-09,Wheat,32.38,26.2,79.3,762,793,1,0,1,0.13,102.18,90.71,32.184285714285714,0.016321406151914797
2023-01-09,Corn,27.32,20.7,48.3,1035,1194,1,0,1,-0.86,102.35,102.64,27.775714285714287,0.03016591251885381
2023-01-10,Rice,48.5,20.7,73.7,1051,1014,1,1,1,-0.82,92.12,102.52,45.82714285714285,0.12372567191844319
2023-01-10,Wheat,33.7,15.6,82.4,1003,959,1,1,1,0.64,107.94,103.92,32.25142857142857,0.040765904879555226
2023-01-10,Corn,27.37,23.2,5.2,1126,1202,1,1,1,0.7,88.61,109.51,27.714285714285715,0.0018301610541728852
2023-01-11,Rice,45.28,26.6,23.5,1133,1230,1,2,1,-0.76,109.76,93.87,46.01857142857143,-0.06639175257731955
2023-01-11,Wheat,33.5,27.2,60.4,985,1056,1,2,1,0.77,111.21,91.62,32.597142857142856,-0.005934718100890302
2023-01-11,Corn,28.75,28.0,19.4,1050,984,1,2,1,-0.14,103.44,105.42,27.722857142857144,0.050420168067226934
2023-01-12,Rice,45.78,24.0,50.6,990,988,1,3,1,-0.32,107.24,101.89,46.02285714285714,0.011042402826855202
2023-01-12,Wheat,30.84,18.5,46.4,841,903,1,3,1,0.82,115.52,108.06,32.39,-0.07940298507462684
2023-01-12,Corn,28.5,32.8,19.8,983,1177,1,3,1,0.83,83.76,94.74,27.91142857142857,-0.008695652173912993
2023-01-13,Rice,48.93,33.0,62.3,1037,1090,1,4,1,-0.15,110.4,102.6,46.74,0.0688073394495412
2023-01-13,Wheat,32.51,27.5,10.7,1047,1232,1,4,1,0.47,108.59,100.4,32.44428571428572,0.054150453955901456
2023-01-13,Corn,27.98,27.4,29.1,940,887,1,4,1,-0.07,99.95,91.63,27.927142857142858,-0.01824561403508773
2023-01-14,Rice,44.9,18.5,35.9,954,990,1,5,1,0.13,103.18,101.41,46.33142857142857,-0.08236255875740861
2023-01-14,Wheat,33.12,25.0,33.6,1046,1253,1,5,1,0.59,97.05,105.26,32.558571428571426,0.018763457397723782
2023-01-14,Corn,30.85,26.7,61.1,1082,1000,1,5,1,-0.65,81.97,107.11,28.184285714285714,0.10257326661901356
2023-01-15,Rice,50.31,21.1,55.0,1151,1021,1,6,1,-0.76,103.06,106.53,46.694285714285705,0.12048997772828507
2023-01-15,Wheat,32.76,24.5,45.6,976,934,1,6,1,0.46,106.67,91.98,32.68714285714286,-0.010869565217391242
2023-01-15,Corn,29.19,32.3,19.9,1182,1142,1,6,1,0.91,103.99,102.22,28.565714285714286,-0.05380875202593194
2023-01-16,Rice,48.19,26.4,46.5,1098,982,1,0,1,-0.26,92.85,102.61,47.41285714285714,-0.04213873981315852
2023-01-16,Wheat,31.09,20.7,47.1,811,825,1,0,1,0.89,113.26,97.4,32.502857142857145,-0.05097680097680091
2023-01-16,Corn,29.36,28.5,49.4,1031,1140,1,0,1,-0.22,95.26,92.54,28.857142857142858,0.00582391229873247
2023-01-17,Rice,47.27,30.4,30.3,1061,1250,1,1,1,-0.27,99.59,109.2,47.237142857142864,-0.01909109773811979
2023-01-17,Wheat,33.48,30.8,56.5,909,740,1,1,1,0.62,106.36,108.84,32.47142857142857,0.07687359279511097
2023-01-17,Corn,29.86,26.6,58.3,1070,953,1,1,1,-0.26,103.09,106.56,29.212857142857143,0.017029972752043543
2023-01-18,Rice,46.59,23.6,47.6,1012,855,1,2,1,-0.4,103.17,97.55,47.42428571428571,-0.014385445314152756
2023-01-18,Wheat,35.86,39.5,67.4,942,950,1,2,1,-0.95,95.29,91.98,32.808571428571426,0.07108721624850656
2023-01-18,Corn,30.72,23.9,85.2,1041,969,1,2,1,-0.7,105.78,93.07,29.494285714285716,0.028801071667782896
2023-01-19,Rice,43.94,19.6,50.2,803,729,1,3,1,0.16,91.61,107.59,47.16142857142857,-0.0568791586177293
2023-01-19,Wheat,34.39,24.1,65.6,1125,1136,1,3,1,0.68,96.08,103.22,33.315714285714286,-0.04099274958170662
2023-01-19,Corn,30.78,28.1,50.0,1124,1170,1,3,1,-0.4,111.3,106.61,29.82,0.001953125
