date,commodity,price,volume,rainfall,temperature,humidity,month,day_of_week,season
2022-01-01,Rice,49.3,1650,16.97,31.34,88.2,1,5,1
2022-01-01,Wheat,36.95,2927,79.16,20.96,79.85,1,5,1
2022-01-01,Corn,28.56,3456,16.48,23.64,79.9,1,5,1
2022-01-01,Soybean,39.63,4816,12.33,23.89,60.06,1,5,1
2022-01-02,Rice,43.79,4359,2.26,26.17,79.26,1,6,1
2022-01-02,Wheat,27.2,3686,27.44,20.83,43.15,1,6,1
2022-01-02,Corn,32.37,3120,61.84,27.34,89.26,1,6,1
2022-01-02,Soybean,40.69,3531,51.14,33.07,85.15,1,6,1
2022-01-03,Rice,40.62,3043,44.58,32.96,84.85,1,0,1
2022-01-03,Wheat,32.16,3298,46.09,32.37,81.78,1,0,1
2022-01-03,Corn,29.86,3879,12.22,27.77,81.64,1,0,1
2022-01-03,Soybean,44.86,2718,64.17,26.42,66.97,1,0,1
2022-01-04,Rice,47.12,2755,97.42,23.96,69.19,1,1,1
2022-01-04,Wheat,32.22,4210,25.42,29.25,61.85,1,1,1
2022-01-04,Corn,27.62,3774,67.88,27.2,54.13,1,1,1
2022-01-04,Soybean,44.45,2914,10.98,27.2,73.01,1,1,1
2022-01-05,Rice,44.25,3820,19.08,22.41,71.15,1,2,1
2022-01-05,Wheat,25.68,2071,6.35,21.24,71.97,1,2,1
2022-01-05,Corn,32.62,4842,37.95,30.21,74.9,1,2,1
2022-01-05,Soybean,31.87,2794,63.17,21.44,85.99,1,2,1
2022-01-06,Rice,48.83,4206,24.43,22.97,77.46,1,3,1
2022-01-06,Wheat,30.9,2449,50.7,23.86,69.11,1,3,1
2022-01-06,Corn,27.31,1510,65.75,31.33,66.9,1,3,1
2022-01-06,Soybean,40.77,4768,4.98,34.62,49.6,1,3,1
2022-01-07,Rice,41.53,4232,79.15,25.0,61.89,1,4,1
2022-01-07,Wheat,31.44,3500,72.92,25.15,46.61,1,4,1
2022-01-07,Corn,34.72,1843,45.52,33.2,40.24,1,4,1
2022-01-07,Soybean,35.83,3630,29.68,27.9,49.07,1,4,1
2022-01-08,Rice,44.77,4756,68.47,27.59,45.3,1,5,1
2022-01-08,Wheat,37.15,4950,8.68,20.5,43.29,1,5,1
2022-01-08,Corn,30.47,1883,6.89,21.53,54.43,1,5,1
2022-01-08,Soybean,37.57,2846,96.27,23.37,69.76,1,5,1
2022-01-09,Rice,45.7,2326,9.97,29.72,80.92,1,6,1
2022-01-09,Wheat,39.84,2970,38.97,22.34,78.14,1,6,1
2022-01-09,Corn,25.38,2202,13.93,23.39,56.54,1,6,1
2022-01-09,Soybean,41.31,4797,65.57,22.05,55.24,1,6,1
2022-01-10,Rice,44.67,2189,70.62,23.06,48.01,1,0,1
2022-01-10,Wheat,34.48,1324,18.24,31.29,80.08,1,0,1
2022-01-10,Corn,28.59,2599,64.45,20.22,55.02,1,0,1
2022-01-10,Soybean,37.81,4007,94.57,28.66,48.04,1,0,1
2022-01-11,Rice,43.47,4552,8.64,21.34,45.27,1,1,1
2022-01-11,Wheat,34.27,2183,8.71,33.35,61.44,1,1,1
2022-01-11,Corn,26.52,3835,54.53,28.96,52.36,1,1,1
2022-01-11,Soybean,34.47,2964,14.99,34.91,63.07,1,1,1
2022-01-12,Rice,47.47,3300,7.78,27.43,48.61,1,2,1
2022-01-12,Wheat,32.29,1455,3.0,24.15,61.82,1,2,1
2022-01-12,Corn,33.13,3108,17.08,34.13,84.99,1,2,1
2022-01-12,Soybean,32.19,3141,68.8,31.0,70.29,1,2,1
