,dept,dist,station,value,date
91269,Revenue,Salem,Yercaud,5,17-01-2001
103326,Revenue,Salem,Yercaud,5,20-05-2002
129328,Revenue,Salem,Yercaud,24.6,01-10-2004
129349,Revenue,Salem,Edapadi,19.6,01-10-2004
129370,Revenue,Salem,Omalur,12.8,01-10-2004
129395,Revenue,Salem,Valappady,9,01-10-2004
129401,Revenue,Salem,Mettur,8.4,01-10-2004
129406,Revenue,Salem,Gangavalli,8,01-10-2004
129436,Revenue,Salem,sankaridurg,5.6,01-10-2004
129451,Revenue,Salem,Salem,4.7,01-10-2004
129655,Revenue,Salem,Salem,12.5,02-10-2004
129683,Revenue,Salem,Yercaud,9,02-10-2004
129726,Revenue,Salem,Mettur,6.6,02-10-2004
129732,Revenue,Salem,Valappady,6,02-10-2004
129801,Revenue,Salem,Omalur,2.8,02-10-2004
129841,Revenue,Salem,Gangavalli,1.6,02-10-2004
129845,Revenue,Salem,Attur,1.4,02-10-2004
129848,Revenue,Salem,Edapadi,1,02-10-2004
129961,Revenue,Salem,Omalur,5.6,03-10-2004
129964,Revenue,Salem,Mettur,5.2,03-10-2004
129989,Revenue,Salem,Edapadi,3,03-10-2004
130000,Revenue,Salem,Yercaud,2.2,03-10-2004
130023,Revenue,Salem,Salem,1.8,03-10-2004
130059,Revenue,Salem,Yercaud,62,04-10-2004
130100,Revenue,Salem,Attur,14.6,04-10-2004
130106,Revenue,Salem,Valappady,13,04-10-2004
130108,Revenue,Salem,Salem,12.8,04-10-2004
130136,Revenue,Salem,Edapadi,8,04-10-2004
130143,Revenue,Salem,Gangavalli,7.8,04-10-2004
130204,Revenue,Salem,Omalur,2,04-10-2004
130221,Revenue,Salem,Mettur,1,04-10-2004
130341,Revenue,Salem,Salem,14.2,10-10-2004
130350,Revenue,Salem,Valappady,10,10-10-2004
130416,Revenue,Salem,Attur,32.6,11-10-2004
130503,Revenue,Salem,Gangavalli,4.6,11-10-2004
130611,Revenue,Salem,Valappady,33,12-10-2004
130650,Revenue,Salem,Edapadi,21,12-10-2004
130718,Revenue,Salem,Gangavalli,10.2,12-10-2004
130719,Revenue,Salem,Mettur,10.2,12-10-2004
130729,Revenue,Salem,Salem,9.8,12-10-2004
130805,Revenue,Salem,Yercaud,4.2,12-10-2004
130831,Revenue,Salem,Attur,3,12-10-2004
131166,Revenue,Salem,Edapadi,13.2,14-10-2004
131256,Revenue,Salem,Gangavalli,2.2,14-10-2004
131327,Revenue,Salem,sankaridurg,34.6,15-10-2004
131333,Revenue,Salem,Edapadi,31,15-10-2004
131383,Revenue,Salem,Gangavalli,15.6,15-10-2004
131412,Revenue,Salem,Yercaud,11.4,15-10-2004
131437,Revenue,Salem,Omalur,6.6,15-10-2004
131487,Revenue,Salem,Valappady,2,15-10-2004
131502,Revenue,Salem,Mettur,1.2,15-10-2004
131609,Revenue,Salem,Attur,4.8,16-10-2004
131621,Revenue,Salem,Mettur,3.2,16-10-2004
131635,Revenue,Salem,Valappady,1,16-10-2004
131659,Revenue,Salem,Yercaud,53.6,17-10-2004
131680,Revenue,Salem,Salem,36,17-10-2004
131714,Revenue,Salem,Attur,24.2,17-10-2004
131742,Revenue,Salem,sankaridurg,19.6,17-10-2004
131803,Revenue,Salem,Valappady,8,17-10-2004
131837,Revenue,Salem,Omalur,4.6,17-10-2004
131844,Revenue,Salem,Gangavalli,4.2,17-10-2004
131876,Revenue,Salem,Mettur,2,17-10-2004
131893,Revenue,Salem,Edapadi,1,17-10-2004
132113,Revenue,Salem,Attur,10.8,18-10-2004
132148,Revenue,Salem,Valappady,8,18-10-2004
132193,Revenue,Salem,Yercaud,5.2,18-10-2004
132198,Revenue,Salem,Omalur,5,18-10-2004
132220,Revenue,Salem,Gangavalli,4.2,18-10-2004
132229,Revenue,Salem,Salem,4,18-10-2004
132276,Revenue,Salem,Edapadi,1,18-10-2004
132323,Revenue,Salem,sankaridurg,34.2,19-10-2004
132344,Revenue,Salem,Valappady,28,19-10-2004
132445,Revenue,Salem,Salem,11.8,19-10-2004
132526,Revenue,Salem,Omalur,5,19-10-2004
132575,Revenue,Salem,Yercaud,2.8,19-10-2004
